time,motor.m1,motor.m2,motor.m3,motor.m4,
11313,0,0,0,0,
11413,0,0,0,0,
11513,0,0,0,0,
11613,0,0,0,0,
11713,0,0,0,0,
11813,0,0,0,0,
11913,0,0,0,0,
12013,0,0,0,0,
12113,0,0,0,0,
12213,0,0,0,0,
12313,0,0,0,0,
12413,0,0,0,0,
12513,0,0,0,0,
12613,0,0,0,0,
12713,0,0,0,0,
12813,0,0,0,0,
12913,0,0,0,0,
13013,0,0,0,0,
13113,0,0,0,0,
13213,0,0,0,0,
13313,0,0,0,0,
13413,32460,41268,28552,28780,
13513,36748,29776,37848,33292,
13613,39176,27882,31464,40838,
13713,39492,23332,44636,48888,
13813,36257,11777,19297,30293,
13913,33584,40472,39354,19626,
14013,29849,34079,35071,29049,
14113,9041,27595,34665,19139,
14213,37345,32553,31243,29203,
14313,49575,33651,43211,37831,
14413,53118,31678,32722,42882,
14513,31858,38886,44350,35010,
14613,35473,39697,47773,36441,
14713,56284,28458,28638,38764,
14813,34786,38288,44344,31846,
14913,40142,41766,51034,43266,
15013,49927,40273,40977,48919,
15113,44094,41922,42800,43832,
15213,29879,40111,47483,36795,
15313,44622,36146,30588,38976,
15413,43196,38814,41768,41034,
15513,37728,40382,45586,36808,
15613,38307,34217,42411,42113,
15713,42216,36404,39980,38804,
15813,41557,39755,38651,33289,
15913,38539,34895,41811,39395,
16013,38706,36874,41872,38024,
16113,40286,37496,41750,39452,
16213,39786,38906,41872,39272,
16313,39776,40120,41980,38328,
16413,39279,39439,44093,40261,
16513,41126,39428,43626,38732,
16613,39095,39071,44071,41503,
16713,38752,39508,43910,42462,
16813,44087,43719,38751,38595,
16913,42402,43696,39278,38652,
17013,37736,41210,41828,40502,
17113,37287,38197,43485,41859,
17213,41927,39555,39413,40169,
17313,41045,41571,40533,39803,
17413,37147,43421,43611,38753,
17513,39306,40320,42218,41432,
17613,39217,39551,41727,41185,
17713,38977,40827,40889,39471,
17813,42427,39845,38329,40495,
17913,40083,40371,40719,40547,
18013,38081,40685,43315,39755,
18113,40933,40181,40143,40423,
18213,43106,38870,39130,41462,
18313,38476,41050,42938,41704,
18413,40018,39304,41962,42444,
18513,43562,39634,39108,41972,
18613,42573,41025,39885,40845,
18713,38402,41832,43086,39020,
18813,36259,39451,43193,40325,
18913,41622,40094,38210,38866,
19013,42803,41631,37291,38503,
19113,38375,40929,41075,39493,
19213,37673,40415,41569,40315,
19313,40563,40885,40373,40231,
19413,38977,41109,41181,39797,
19513,40431,38725,39939,42437,
19613,40476,40036,39290,40254,
19713,40081,40881,40449,40501,
19813,39813,42077,41573,38385,
19913,39514,42016,40980,39530,
20013,39803,40883,40753,40353,
20113,40063,42879,40027,37571,
20213,38059,40363,42681,40705,
20313,41572,40852,40394,40558,
20413,43150,41704,38058,39568,
20513,40805,43483,40333,36959,
20613,40497,37489,39601,44241,
20713,47025,42779,31951,39585,
20813,39630,43290,39302,40226,
20913,30329,42227,46319,41141,
21013,39951,42705,35623,39477,
21113,36292,41752,41172,39820,
21213,36070,39088,42972,42490,
21313,41889,42203,38679,39225,
21413,45541,43253,36677,38721,
21513,34152,44628,46752,36616,
21613,40327,42287,40743,40139,
21713,37118,43286,44352,37500,
21813,42811,40165,38451,40849,
21913,41541,39013,40303,40551,
22013,40964,38804,41696,41956,
22113,40914,38412,41278,42700,
22213,38754,40298,41978,40474,
22313,42003,41797,38961,38235,
22413,37957,41175,41361,37595,
22513,37410,37852,42326,40972,
22613,38888,42680,42034,37374,
22713,42703,39407,39345,41673,
22813,41048,39938,39742,42068,
22913,39874,42530,40894,37562,
23013,43774,39774,37780,38420,
23113,42372,37022,39082,40600,
23213,39432,39202,42948,38786,
23313,42332,41378,39728,38262,
23413,36860,40126,45074,40072,
23513,39712,44796,41824,35624,
23613,36283,42153,45223,39541,
23713,39145,40979,42497,40227,
23813,40982,38052,40012,42738,
23913,44107,39177,37175,39841,
24013,43486,42428,36572,37666,
24113,36998,44096,41966,38056,
