time,stabilizer.thrust,
33021,0.0,
33121,0.0,
33221,0.0,
33321,0.0,
33421,0.0,
33521,0.0,
33621,0.0,
33721,0.0,
33821,0.0,
33921,0.0,
34021,0.0,
34121,0.0,
34221,0.0,
34321,0.0,
34421,0.0,
34521,0.0,
34621,0.0,
34721,0.0,
34821,0.0,
34921,0.0,
35021,0.0,
35121,44485.0,
35221,20583.0,
35321,16588.0,
35421,6394.0,
35521,25525.0,
35621,40345.0,
35721,37289.0,
35821,21124.0,
35921,20100.0,
36021,20896.0,
36121,13944.0,
36221,63459.0,
36321,1563.0,
36421,56680.0,
36521,20707.0,
36621,1531.0,
36721,3033.0,
36821,5384.0,
36921,38791.0,
37021,2208.0,
37121,6415.0,
37221,59828.0,
37321,11141.0,
37421,36953.0,
37521,58935.0,
37621,10820.0,
37721,41386.0,
37821,36159.0,
37921,8652.0,
38021,49202.0,
38121,30790.0,
38221,12082.0,
38321,64990.0,
38421,13345.0,
38521,49100.0,
38621,17666.0,
38721,25823.0,
38821,17896.0,
38921,58936.0,
39021,30951.0,
39121,29205.0,
39221,8520.0,
39321,436.0,
39421,28240.0,
39521,61517.0,
39621,22362.0,
39721,11614.0,
39821,14929.0,
39921,36994.0,
40021,56588.0,
40121,40355.0,
40221,24253.0,
40321,22596.0,
40421,63657.0,
40521,17480.0,
40621,48522.0,
40721,54262.0,
40821,22766.0,
40921,6564.0,
41021,46900.0,
41121,28907.0,
41221,34411.0,
41321,8851.0,
41421,6638.0,
41521,36473.0,
41621,38378.0,
41721,55643.0,
41821,10990.0,
41921,26545.0,
42021,57571.0,
42121,26740.0,
42221,33721.0,
42321,15816.0,
42421,28334.0,
42521,46498.0,
42621,37729.0,
42721,13678.0,
42821,18233.0,
42921,40351.0,
43021,22385.0,
43121,29240.0,
43221,29346.0,
43321,5836.0,
43421,64537.0,
43521,18586.0,
43621,6822.0,
43721,16242.0,
43821,36127.0,
43921,52742.0,
44021,25548.0,
44121,4914.0,
44221,32447.0,
