time,motor.m1,motor.m2,motor.m3,motor.m4,
33022,0,0,0,0,
33122,0,0,0,0,
33222,0,0,0,0,
33322,0,0,0,0,
33422,0,0,0,0,
33522,0,0,0,0,
33622,0,0,0,0,
33722,0,0,0,0,
33822,0,0,0,0,
33922,0,0,0,0,
34022,0,0,0,0,
34122,0,0,0,0,
34222,0,0,0,0,
34322,0,0,0,0,
34422,0,0,0,0,
34522,0,0,0,0,
34622,0,0,0,0,
34722,0,0,0,0,
34822,0,0,0,0,
34922,0,0,0,0,
35022,0,0,0,0,
35122,31719,32241,30071,29705,
35222,30951,29837,27523,33193,
35322,23777,46173,42835,22639,
35422,48854,35430,20696,33356,
35522,18128,19680,32042,33258,
35622,45635,14783,3039,37719,
35722,33817,38199,35291,34585,
35822,42775,42513,41323,42677,
35922,33976,36214,32142,30076,
36022,30800,38386,36032,31298,
36122,44547,32403,48415,59171,
36222,47949,54655,37085,30259,
36322,40081,28925,43297,55657,
36422,32088,38818,39898,33440,
36522,29633,36969,42495,37655,
36622,41610,33610,32214,43114,
36722,33210,42216,45814,39572,
36822,37831,38727,41415,44927,
36922,42003,41911,44229,47565,
37022,37356,41900,46034,44726,
37122,40660,43984,43916,44596,
37222,41914,39914,37844,43052,
37322,32406,37738,43092,41560,
37422,38827,38627,36411,40311,
37522,34677,38821,39875,39099,
37622,34245,36507,39149,40795,
37722,36100,37764,38954,40402,
37822,35885,41285,43047,40091,
37922,38064,39400,42130,43354,
38022,41167,40137,41805,44571,
38122,39753,41051,43727,43885,
38222,38866,41378,43790,43066,
38322,40013,39681,41291,43867,
38422,36652,40218,44412,42766,
38522,38403,40131,41869,42153,
38622,39477,39983,39695,41889,
38722,36445,40411,43631,41705,
38822,38869,38713,41049,43437,
38922,39108,39120,40626,42834,
39022,36580,42214,43904,41622,
39122,40640,40536,38782,42290,
39222,38245,38201,41055,44423,
39322,37803,40803,42043,42171,
39422,38127,40585,42283,42261,
39522,38754,40162,42156,43728,
39622,38403,40789,41739,42233,
39722,37662,40902,42846,42610,
39822,39269,39897,40409,43473,
39922,36462,40980,42826,42100,
40022,36871,40533,42485,42787,
40122,38903,38815,40523,45203,
40222,38696,40386,41988,44170,
40322,36985,41355,42829,43023,
40422,40314,39562,39542,44390,
40522,36183,40971,42801,43133,
40622,37657,39253,42007,44655,
40722,37996,40928,42282,43478,
40822,38296,40414,41368,43090,
40922,37334,40738,42658,43210,
41022,39299,40507,41249,43517,
41122,37674,40220,43500,43918,
41222,38880,39300,42046,45174,
41322,39187,38051,41551,45187,
41422,37133,39285,42497,44001,
41522,37865,41081,41435,41979,
41622,37899,39389,42295,43829,
41722,39254,39578,42160,44740,
41822,38662,40898,42262,43210,
41922,40624,41764,40424,42464,
42022,36911,39891,43669,44265,
42122,37231,38737,42123,44117,
42222,38413,41551,41475,41901,
42322,38140,40690,41538,42692,
42422,36967,38025,43121,46167,
42522,38297,39923,41931,44413,
42622,38235,42209,41261,42723,
42722,37717,39581,41433,45321,
42822,37265,39345,41127,45363,
42922,37604,41258,41360,43222,
43022,37792,42664,42088,42668,
43122,37960,38232,41352,46752,
43222,36475,40637,42455,44729,
43322,36138,40572,42992,45250,
43422,37981,43467,40539,41837,
43522,38405,39941,39611,45147,
43622,36346,39366,41390,45818,
43722,38195,41183,39671,44019,
43822,37290,41092,41252,44770,
43922,36682,41506,42226,44250,
44022,39090,41396,40014,43736,
44122,37586,41454,41124,42728,
44222,37037,41177,40663,42395,
44322,37824,40094,40752,44002,
