time,motor.m1,motor.m2,motor.m3,motor.m4
45594,0,0,0,0
45694,0,0,0,0
45794,0,0,0,0
45894,0,0,0,0
45994,0,0,0,0
46094,0,0,0,0
46194,0,0,0,0
46294,0,0,0,0
46394,0,0,0,0
46494,0,0,0,0
46594,37000,39384,35784,35292
46694,52465,37623,27621,37527
46794,43090,31810,40236,38348
46894,48534,29896,48472,58110
46994,42587,45705,48337,39491
47094,59212,47096,43252,47704
47194,43120,36992,43710,43522
47294,39028,46158,40786,30572
47394,41716,33546,37662,39920
47494,49509,45405,45063,42739
47594,61786,58790,65312,58620
47694,62462,57750,55098,54714
47794,51050,50548,56034,52972
47894,50723,47223,47151,43395
47994,45427,46661,46965,42871
48094,45858,42414,41908,42912
48194,45808,38738,36850,40644
48294,35595,40827,45297,34789
48394,44558,35916,32622,39000
48494,41434,38232,38006,37664
48594,42195,39715,40699,40379
48694,43135,41533,43051,40781
48794,46493,43743,43283,40529
48894,47991,44583,48485,45633
48994,48304,49260,51780,45240
49094,50238,47972,48764,45802
49194,47138,42422,48520,47672
49294,47904,46760,47002,42246
49394,48502,45908,45884,42686
49494,48096,43664,43906,43182
49594,46659,45201,45325,42839
49694,47361,44663,43127,40957
49794,47014,41386,43312,45048
49894,41316,41388,50324,44360
49994,51514,47276,38578,39916
50094,46759,43541,42847,42989
50194,42472,43616,47570,43354
50294,45832,47530,42292,39678
50394,45785,45547,44289,40123
50494,45928,43662,47546,46552
50594,47318,42994,44510,46166
50694,47005,46365,47067,43143
50794,47750,45174,47936,46448
50894,47990,45768,44968,42774
50994,46253,45165,45107,43251
51094,46319,40849,41977,44667
51194,39912,46482,51522,41500
51294,49109,47437,44513,42201
51394,48517,47721,44967,42367
51494,44863,42441,46813,45795
51594,48504,41794,42248,45998
51694,42563,45369,47363,40985
51794,48727,42719,44147,47967
51894,43229,47513,48653,41053
51994,46872,48592,47252,42628
52094,46245,44459,47531,47541
52194,41317,45279,49551,43861
52294,47733,45201,42949,42993
52394,42778,46276,48680,43826
52494,44364,44998,44170,41956
52594,51779,42169,37585,44799
52694,37751,47061,51563,41833
52794,49640,44312,40584,43268
52894,40806,47642,48742,39614
52994,45284,43826,45016,44118
53094,45223,42361,47919,48165
53194,52145,50513,42851,39855
53294,39316,51200,54806,38450
53394,43137,45919,51321,42247
53494,51332,46558,40536,38066
53594,39036,46684,50048,38032
53694,49177,46481,40061,42189
53794,44626,48742,44476,40692
53894,45436,40554,45184,45714
